,"pearson r, frac_positive_classifications","AUC, any ground truth positive","AUC, any classified positive"
frac_positive_classifications,0.5893771758586168,0.7734604976569204,0.6797623925159026
any_positive_classifications,0.28888766930778503,0.776481750379513,0.6811819442474668
n_positive_classifications,0.34798381127574196,0.7851956966536863,0.6842712092322076
any_positive_ground_truth,0.34453897639696995,0.6425928981585373,0.573862651475756
n_positive_ground_truth,0.3976852520557742,0.6429361098277341,0.574041244478062
graph_laplacian_frac_pos_classifications_one_iter,0.5937549038401447,0.8385436604844565,0.7428674419704061
graph_laplacian_frac_pos_classifications_five_iter,0.6056871689638459,0.8434096759289815,0.7428280464551915
graph_laplacian_n_positive_ground_truth_one_iter,0.4191993101808176,0.7403669724770643,0.644058893668878
graph_laplacian_n_positive_ground_truth_five_iter,0.47164271871946645,0.7601626955316481,0.6472624056477411
OLS_pred_frac_positive_classifications,0.23417981179736502,0.744452511385387,0.6646259789785529
OLS_pred_n_positive_ground_truth,0.22114739226646407,0.7742657250346512,0.6906086344463879
RandomForest_pred_frac_positive_classifications,0.6203230517084887,0.796292323939014,0.7150075902025979
RandomForest_pred_n_positive_ground_truth,0.40493923044627267,0.7473582601808461,0.6458238127504898
bayesian_model_p_y,0.7230311736175219,0.7918223219589466,0.6651171097348944
bayesian_model_at_least_one_positive_by_area,0.3779693924421021,0.8921226321694937,0.8005037373212099
